Datos descargados del Instituto Nacional de Estadística,
Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
comunidad;Sexo;Periodo;TotalPoblacion
Totales;Total;2020;47.450.795
Andalucía;Total;2020;8.464.411
Aragón;Total;2020;1.329.391
Asturias;Total;2020;1.018.784
Baleares;Total;2020;1.171.543
Canarias;Total;2020;2.175.952
Cantabria;Total;2020;582.905
Castilla y Leon;Total;2020;2.394.918
Castilla La Mancha;Total;2020;2.045.221
Cataluña;Total;2020;7.780.479
C. Valenciana;Total;2020;5.057.353
Extremadura;Total;2020;1.063.987
Galicia;Total;2020;2.701.819
Madrid;Total;2020;6.779.888
Murcia;Total;2020;1.511.251
Navarra;Total;2020;661.197
País Vasco;Total;2020;2.220.504
La Rioja;Total;2020;319.914
Ceuta;Total;2020;84.202
Melilla;Total;2020;87.076